installation_type,vessel_name,start_date,end_date,installation time,windfarm_name,,,
turbine,Wind Osprey,6/9/2016 16:22,6/10/2016 11:10,,Gemini,,,
turbine,Wind Osprey,6/10/2016 13:04,6/11/2016 8:10,,Gemini,,,
turbine,Wind Osprey,6/11/2016 9:22,6/12/2016 5:02,,Gemini,,,
turbine,Wind Osprey,6/12/2016 8:32,6/13/2016 6:02,,Gemini,,,
turbine,Wind Osprey,6/13/2016 8:01,6/14/2016 2:00,,Gemini,,,
turbine,Wind Osprey,6/14/2016 3:01,6/15/2016 0:00,,Gemini,,,
turbine,Wind Osprey,6/15/2016 2:03,6/15/2016 23:00,,Gemini,,,
turbine,Wind Osprey,6/22/2016 5:00,6/23/2016 6:00,,Gemini,,,
turbine,Wind Osprey,6/23/2016 8:02,6/24/2016 4:01,,Gemini,,,
turbine,Wind Osprey,6/24/2016 5:00,6/25/2016 1:00,,Gemini,,,
turbine,Wind Osprey,6/25/2016 3:09,6/26/2016 0:03,,Gemini,,,
turbine,Wind Osprey,6/26/2016 1:03,6/27/2016 8:00,,Gemini,,,
turbine,Wind Osprey,6/27/2016 9:01,6/28/2016 7:11,,Gemini,,,
turbine,Wind Osprey,6/28/2016 9:22,6/29/2016 11:02,,Gemini,,,
turbine,Wind Osprey,6/29/2016 12:41,6/30/2016 23:43,,Gemini,,,
turbine,Wind Osprey,7/8/2016 14:00,7/12/2016 21:00,,Gemini,,,
turbine,Wind Osprey,7/12/2016 22:00,7/13/2016 22:01,,Gemini,,,
turbine,Wind Osprey,7/13/2016 23:03,7/16/2016 0:04,,Gemini,,,
turbine,Wind Osprey,7/16/2016 1:00,7/17/2016 2:01,,Gemini,,,
turbine,Wind Osprey,7/17/2016 3:31,7/17/2016 23:01,,Gemini,,,
turbine,Wind Osprey,7/18/2016 1:00,7/18/2016 20:07,,Gemini,,,
turbine,Wind Osprey,7/18/2016 21:07,7/19/2016 15:43,,Gemini,,,
turbine,Wind Osprey,7/19/2016 17:57,7/21/2016 6:00,,Gemini,,,
turbine,Wind Osprey,7/24/2016 6:00,7/25/2016 3:02,,Gemini,,,
turbine,Wind Osprey,7/25/2016 5:01,7/26/2016 0:01,,Gemini,,,
turbine,Wind Osprey,7/26/2016 2:02,7/27/2016 0:02,,Gemini,,,
turbine,Wind Osprey,7/27/2016 2:00,7/28/2016 5:00,,Gemini,,,
turbine,Wind Osprey,7/28/2016 7:33,7/29/2016 2:00,,Gemini,,,
turbine,Wind Osprey,7/29/2016 3:03,7/29/2016 23:11,,Gemini,,,
turbine,Wind Osprey,7/30/2016 2:29,7/30/2016 19:09,,Gemini,,,
turbine,Wind Osprey,7/30/2016 20:00,7/31/2016 14:00,,Gemini,,,
turbine,Wind Osprey,8/3/2016 20:00,8/5/2016 15:03,,Gemini,,,
turbine,Wind Osprey,8/5/2016 16:12,8/6/2016 11:21,,Gemini,,,
turbine,Wind Osprey,8/6/2016 14:30,8/8/2016 0:01,,Gemini,,,
turbine,Wind Osprey,8/8/2016 1:00,8/10/2016 16:06,,Gemini,,,
turbine,Wind Osprey,8/10/2016 19:30,8/11/2016 19:00,,Gemini,,,
turbine,Wind Osprey,8/11/2016 21:00,8/12/2016 21:10,,Gemini,,,
turbine,Wind Osprey,8/12/2016 23:01,8/14/2016 0:00,,Gemini,,,
turbine,Wind Osprey,8/14/2016 2:02,8/14/2016 21:00,,Gemini,,,
foundation,Wind Osprey,4/17/2018 19:15,4/18/2018 11:52,,Albatros / Hohe See,,,
foundation,Wind Osprey,4/21/2018 9:07,4/28/2018 23:39,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/1/2018 16:30,5/3/2018 19:33,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/3/2018 21:35,5/4/2018 23:33,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/5/2018 0:36,5/6/2018 4:10,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/11/2018 18:26,5/12/2018 11:22,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/14/2018 12:38,5/15/2018 4:12,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/15/2018 6:24,5/16/2018 5:08,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/16/2018 8:14,5/18/2018 10:32,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/20/2018 21:12,5/22/2018 10:36,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/26/2018 11:00,5/27/2018 11:29,,Albatros / Hohe See,,,
foundation,Wind Osprey,5/27/2018 13:16,5/28/2018 11:00,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/1/2018 5:11,6/2/2018 1:25,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/3/2018 13:52,6/4/2018 13:14,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/4/2018 16:00,6/10/2018 9:13,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/10/2018 18:19,6/11/2018 3:53,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/14/2018 15:25,6/16/2018 9:46,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/16/2018 17:09,6/17/2018 19:28,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/21/2018 22:27,6/24/2018 11:37,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/25/2018 12:29,6/26/2018 11:00,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/28/2018 2:00,6/29/2018 3:00,,Albatros / Hohe See,,,
foundation,Wind Osprey,6/29/2018 4:00,6/30/2018 9:25,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/3/2018 23:08,7/4/2018 21:34,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/5/2018 21:00,7/6/2018 19:06,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/8/2018 13:05,7/11/2018 3:16,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/11/2018 16:27,7/12/2018 0:00,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/14/2018 7:28,7/15/2018 5:00,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/15/2018 9:29,7/16/2018 0:00,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/16/2018 9:31,7/16/2018 20:22,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/19/2018 20:44,7/20/2018 2:32,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/20/2018 7:06,7/20/2018 23:48,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/23/2018 11:46,7/23/2018 22:26,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/24/2018 1:01,7/24/2018 10:50,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/24/2018 12:02,7/25/2018 3:59,,Albatros / Hohe See,,,
foundation,Wind Osprey,7/26/2018 21:03,7/29/2018 14:05,,Albatros / Hohe See,,,
foundation,Wind Osprey,8/2/2018 21:58,8/3/2018 16:27,,Albatros / Hohe See,,,
